queueOrder,page,oldPath,clicks,impressions,priorityScore,legacyType,suggestedTargetPath,proposedTargetPath,decisionType,reasonCode,confidence,curationStatus,reviewerNotes
50,https://www.kotacom.id/product/pc-rakitan-core-i5-lengkap-siap-pakai-untuk-office-admin,/product/pc-rakitan-core-i5-lengkap-siap-pakai-untuk-office-admin,1,51,11.63,other_nested,,/products/pc-rakitan-core-i5-lengkap-siap-pakai-untuk-office-admin,redirect,product_singular_to_plural,medium,pending_review,
51,https://www.kotacom.id/blog/panduan-memilih-sistem-pos-untuk-umkm-indonesia,/blog/panduan-memilih-sistem-pos-untuk-umkm-indonesia,0,51,8.86,other_nested,,/blog/panduan-memilih-sistem-pos-untuk-umkm-indonesia,keep_or_redirect,blog_slug_normalization,medium,pending_review,
52,https://www.kotacom.id/product/pc-intel-core-i5-ram-32gb-ddr4-ssd-512gb-garansi,/product/pc-intel-core-i5-ram-32gb-ddr4-ssd-512gb-garansi,4,50,23.23,other_nested,,/products/pc-intel-core-i5-ram-32gb-ddr4-ssd-512gb-garansi,redirect,product_singular_to_plural,medium,pending_review,
53,https://www.kotacom.id/digital-product/jasa-isi-film-surabaya,/digital-product/jasa-isi-film-surabaya,0,49,19.65,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,
54,https://www.kotacom.id/product/hardisk-internal-4tb-film-hd-game-pc-konser-musik-fitness-tra-0,/product/hardisk-internal-4tb-film-hd-game-pc-konser-musik-fitness-tra-0,0,49,13.36,other_nested,,/products/hardisk-internal-4tb-film-hd-game-pc-konser-musik-fitness-tra-0,redirect,product_singular_to_plural,medium,pending_review,
55,https://www.kotacom.id/product/pc-gaming-intel-core-i7-6700-ram-32gb-ddr4-vga-8gb-ddr5-hdd-1tbssd-8gb-ddr4-vga-onboard-hd,/product/pc-gaming-intel-core-i7-6700-ram-32gb-ddr4-vga-8gb-ddr5-hdd-1tbssd-8gb-ddr4-vga-onboard-hd,0,48,14.76,other_nested,,/products/pc-gaming-intel-core-i7-6700-ram-32gb-ddr4-vga-8gb-ddr5-hdd-1tbssd-8gb-ddr4-vga-onboard-hd,redirect,product_singular_to_plural,medium,pending_review,
56,https://www.kotacom.id/product/rakit-pc-core-i5-4460-4gb-500gb-pc-rakitan-office-surabaya,/product/rakit-pc-core-i5-4460-4gb-500gb-pc-rakitan-office-surabaya,2,46,16.21,other_nested,,/products/rakit-pc-core-i5-4460-4gb-500gb-pc-rakitan-office-surabaya,redirect,product_singular_to_plural,medium,pending_review,
57,https://www.kotacom.id/projects/fashion-retail-pos-system-butik-cantik,/projects/fashion-retail-pos-system-butik-cantik,0,46,7.69,project_detail,/services,/projects/fashion-retail-pos-system-butik-cantik,keep_or_redirect,projects_direct,medium,pending_review,
58,https://www.kotacom.id/rekomendasi-rakit-pc-5-jutaan/comment-page-1,/rekomendasi-rakit-pc-5-jutaan/comment-page-1,0,44,7.61,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,
59,https://www.kotacom.id/product/1set-pc-gaming-core-i5-3470-ram-16gb-vga-gtx-4gb-ddr5-monitor-22-inc,/product/1set-pc-gaming-core-i5-3470-ram-16gb-vga-gtx-4gb-ddr5-monitor-22-inc,1,43,12.42,other_nested,,/products/1set-pc-gaming-core-i5-3470-ram-16gb-vga-gtx-4gb-ddr5-monitor-22-inc,redirect,product_singular_to_plural,medium,pending_review,
